YCC,YCC Pub Date,      ,YCC Categories,Ad Name,Ad set,Campaign,Link,Amount Spent (USD),Ad ID,Reach,Post Engagement,Post Shares,Landing Page Views,Cost/Engagement,Cost/Share,Cost/LPV,Relevance Score,Engagements per 1k reached,Landing Page Views per 1k reach,FB Copy,FB Title,FB post link,End Date
How family size shapes your carbon footprint,3/29/19 7:05,Craig K. Chandler,"Feature Article, Religion &amp; Morality",2019-03-29 Yale Climate Connections -- A 2017 paper found that reducing family size was the m...,#N/A,#N/A,https://www.yaleclimateconnections.org/2019/03/how-family-size-shapes-your-carbon-footprint/,$38.45,6113016786494,"2,176",380,37,12,$0.1012,$1.039,$3.20,7,174.632,6,"A 2017 paper found that reducing family size was the most important lifestyle choice for reducing personal carbon emissions. 

This is the fifth installment of a 5-part series this week on how to reduce your carbon footprint. Check it out.",How family size shapes your carbon footprint » by Craig K. Chandler,https://www.facebook.com/130268756992804/posts/2369987446354246/,4/4/2019
Not in database,n/a,n/a,n/a,2017-01-27 Yale Climate Connections -- Here is a summary of the films featuring Climate Chang...,#N/A,#N/A,https://sustainability.uiowa.edu/climatenarrative/?p=3538,$3.28,6063669786694,"4,744",542,60,,$0.0061,$0.055,#DIV/0!,,114.250,0,"Here is a summary of the films featuring Climate Change at the Sundance Film Fest, going on right now and until the 29th of January. (Via University of Iowa)",Sundance Film Fest Features Climate Change | Climate Narrative Project,https://www.facebook.com/130268756992804/posts/1403217293031271/,2/16/2017
The Mississippi Delta is losing land,8/7/18 7:00,Samantha Harrington,Species &amp; Ecosystems,2018-08-07 Yale Climate Connections -- Climate change will make this problem worse if action ...,#N/A,#N/A,https://www.yaleclimateconnections.org/2018/08/the-mississippi-delta-is-losing-land/,$31.12,6096102333094,"6,618","1,080",147,127,$0.0288,$0.212,$0.25,8,163.191,19,Climate change will make this problem worse if action isn’t taken.,The Mississippi Delta is losing land. Here’s why.,https://www.facebook.com/130268756992804/posts/2017389334947394/,9/4/2018
"For the Gullah Geechee, sea-level rise is already a fact of life",11/19/18 7:00,NULL,Oceans,"2019-02-07 Yale Climate Connections -- Queen Quet, heard here in our interview from last fall...",#N/A,#N/A,https://www.yaleclimateconnections.org/2018/11/rising-seas-storms-threaten-gullah-geechee-land/,$76.17,6109254456694,"12,224","2,428",454,192,$0.0314,$0.168,$0.40,10,198.626,16,"Queen Quet, heard here in our interview from last fall, is testifying in Congress about climate change today: https://www.yaleclimateconnections.org/2018/11/rising-seas-storms-threaten-gullah-geechee-land/","Rising seas, storms threaten Gullah Geechee land » Yale Climate Connections",https://www.facebook.com/130268756992804/posts/2294292910590367/,3/4/2019
Not in database,n/a,n/a,n/a,2016-10-26 Yale Climate Connections -- New scientific research finds staggering ice loss in s...,#N/A,#N/A,https://www.youtube.com/watch?v=0pDB_C-jwkU,$7.82,6058826853294,"1,638",285,57,,$0.0274,$0.137,#DIV/0!,,173.993,0,New scientific research finds staggering ice loss in several Antarctic glaciers. http://wapo.st/2ebErsh  The short video below helps explain what's happening across Antarctica.,Trouble at Totten Glacier,https://www.facebook.com/130268756992804/posts/1306740306012304/,11/4/2016
"Turn on a streetlight, alter an ecosystem?",11/3/2016,"David Appell, ecology",Ecosystems,2016-11-03 Yale Climate Connections -- Did you know streetlights cause plants to bloom earlie...,#N/A,#N/A,http://www.yaleclimateconnections.org/2016/11/turn-on-a-streetlight-alter-an-ecosystem/,$11.33,6059240952094,"2,127",219,39,,$0.0517,$0.291,#DIV/0!,,102.962,0,Did you know streetlights cause plants to bloom earlier?  Listen in to today's story on Richard Ffrench-Constant of the University of Exeter to learn about the impacts of urban lighting on nature and what frequencies they should omit to reduce them.,"Turn On a Streetlight, Alter an Ecosystem?
",https://www.facebook.com/130268756992804/posts/1312810122071989/,12/4/2016
Climate data: business opportunity?,9/29/2016,"climate data, Sara Peach, The Collider",Economics,2016-09-29 Yale Climate Connections -- The largest archive of climate data in the world needs...,#N/A,#N/A,http://www.yaleclimateconnections.org/2016/09/climate-data-business-opportunity/,$29.86,6057283904094,"3,869",352,49,,$0.0848,$0.609,#DIV/0!,,90.980,0,"The largest archive of climate data in the world needs you!  Asheville North Carolina has recently created a space called “The Collider” to attract entrepreneurs from administrators to graphic designers to creatively turn climate data into products and services.  The Collider  NOAA National Centers for Environmental Information - Climate

Learn more about the next generation of climate jobs on today’s episode of the Yale Climate Connection's Radio Show!",Climate data: business opportunity? - Yale Climate Connections,https://www.facebook.com/130268756992804/posts/1279275218758813/,10/4/2016
Climate change could cause more sewage backups,10/24/18 7:00,Sara Peach,Weather Extremes,2018-10-24 Yale Climate Connections -- Nope. We’re good. Thanks.,#N/A,#N/A,https://www.yaleclimateconnections.org/2018/10/climate-change-could-cause-more-sewage-backups/,$129.69,6101623396294,"7,394",844,84,75,$0.1537,$1.544,$1.73,8,114.147,10,Nope. We’re good. Thanks.,Gross! Climate change could cause more sewage backups,https://www.facebook.com/130268756992804/posts/2129856230367370/,11/4/2018
Warming intensifies Colorado drought,3/21/2017,"Daisy Simmons, drought, water resources","Ecosystems, Sustainability",2017-03-21 Yale Climate Connections -- Forty million people depend on the Colorado River for ...,#N/A,#N/A,http://www.yaleclimateconnections.org/2017/03/warming-intensifies-colorado-drought/,$57.24,6066526799694,"13,314","1,686",275,,$0.0340,$0.208,#DIV/0!,,126.634,0,"Forty million people depend on the Colorado River for drinking water, a resource that’s vulnerable as temperatures rise. Tune in to learn more about how climate change is driving water shortages.

University of Arizona School of Geography and Development Arizona Public Media National Audubon SocietyColorado River Indian Tribes",Warming intensifies Colorado drought,https://www.facebook.com/130268756992804/posts/1453617721324561/,4/4/2017
How family size shapes your carbon footprint,3/29/19 7:05,Craig K. Chandler,"Feature Article, Religion &amp; Morality",2019-03-20 Yale Climate Connections -- Utility bills can be a heavy burden for low-income com...,#N/A,#N/A,https://www.yaleclimateconnections.org/2019/03/poor-you-probably-pay-more-for-electricity/,$19.30,6112275703094,"2,790",513,53,18,$0.0376,$0.364,$1.07,8,183.871,6,Utility bills can be a heavy burden for low-income communities. So Nathaniel Smith says governments and utilities should invest in energy programs for low-income people:,Poor? You probably pay more for electricity.,https://www.facebook.com/130268756992804/posts/2355714644448193/,4/4/2019
City prepares for intense storms,4/4/18 7:00,Justyna Bicz,Weather Extremes,2018-04-04 Yale Climate Connections -- Is your city preparing for climate change?,#N/A,#N/A,https://www.yaleclimateconnections.org/2018/04/how-one-city-is-preparing-for-storms-of-the-future/,$23.57,6087114013894,"8,166","1,510",181,148,$0.0156,$0.130,$0.16,,184.913,18,Is your city preparing for climate change?,How one city is getting ready for the storms of the future ,https://www.facebook.com/130268756992804/posts/1851525308200465/,5/4/2018
How a Dutch city became a cycling capital,1/19/18 7:00,Bruce Lieberman,Transportation,2018-01-22 Yale Climate Connections -- Are bicycles the future of transportation in cities? ����,#N/A,#N/A,https://www.yaleclimateconnections.org/2018/01/how-a-dutch-city-became-a-cycling-capital/,$25.57,6083000915494,"8,000","1,330",103,49,$0.0192,$0.248,$0.52,,166.250,6,Are bicycles the future of transportation in cities? 🚲🏪🚲🚲,How a Dutch city became a cycling capital of the world ,https://www.facebook.com/130268756992804/posts/1768364679849862/,2/4/2018
Curbing CO2 emissions from airplanes,9/5/2016,"airplane emissions, David Appell, GHG emissions",Energy,Air travel currently emits about 2 percent of global warming pollution worldw...,#N/A,#N/A,http://www.yaleclimateconnections.org/2016/09/curbing-co2-emissions-from-airplanes/,$15.90,6055965706294,"3,059",218,16,,$0.0729,$0.994,#DIV/0!,,71.265,0,Air travel currently emits about 2 percent of global warming pollution worldwide. But analysts believe those emissions could triple if left unchecked. Hear about research underway to curb this trend on today's episode.,Curbing airplane CO2 emissions ,https://www.facebook.com/130268756992804/posts/1256738574345811/,10/4/2016
Banking seeds for future climates,3/13/2017,"agriculture, Samantha Harrington",Food & Agriculture,"2017-03-13 Yale Climate Connections -- As a result of human activities, one out of every five...",#N/A,#N/A,http://www.yaleclimateconnections.org/2017/03/banking-seeds-for-future-climates/,$46.18,6066098515694,"17,510","2,276",415,,$0.0203,$0.111,#DIV/0!,,129.983,0,"As a result of human activities, one out of every five plant species is at risk of extinction. Climates are changing faster than plants can adapt, so the Missouri Botanical Garden and 39 other American arboretums are saving seeds in case populations go extinct in the wild. Listen in to learn more.  
Missouri Botanical Garden St. Louis Public Radio Seed Savers Exchange",Banking seeds for future climates,https://www.facebook.com/130268756992804/posts/1449197191766614/,4/4/2017
Halloween candy's link to climate change,10/31/2017,Bruce Lieberman,Food & Agriculture,2017-10-31 Yale Climate Connections -- Halloween candy isn’t just contributing to stomach aches.,#N/A,#N/A,https://www.yaleclimateconnections.org/2017/10/halloween-candys-link-to-climate-change/,$387.34,6079116063494,"61,512","8,272","1,172",1720,$0.0468,$0.330,$0.23,,134.478,28,Halloween candy isn’t just causing stomach aches.,A common ingredient in Halloween candy is contributing to climate change,https://www.facebook.com/130268756992804/posts/1686346308051700/,11/4/2017
Catholic institutions commit to climate action,8/23/18 7:00,Erika Street Hopman,Religion &amp; Morality,2018-08-23 Yale Climate Connections -- ”We would love for the Catholic church to be a leader ...,#N/A,#N/A,https://www.yaleclimateconnections.org/2018/08/catholic-institutions-commit-to-climate-action/,$67.27,6097187795894,"12,120","2,299",147,46,$0.0293,$0.458,$1.46,9,189.686,4,"”We would love for the Catholic church to be a leader and an inspiration with regard to climate action in spirit, word, and deed.” — Jose Aguto of the Catholic Climate Covenant",Catholic institutions commit to climate action,https://www.facebook.com/130268756992804/posts/2046395922046735/,9/4/2018
