"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - report_spam_clicks"
130268756992804_2475436505809339,https://www.facebook.com/YaleClimateConnections/posts/2475436505809339,"“I don't apologize for saying that one of the components of sustainability is profitability. Because if you can’t make a profit, you can’t sustain yourself, ” says farmer Ted Barbour:",Link,,,"05/31/2019 04:21:02 AM"," ",23304,2976,20195,30079,4224,25855,4754,420,453,5,6,3421,2408,8,7,183,0,0,0,0,0,0,0,0,0,0,490,4487,67,505,4653,164,97,343,,,108,345,,,,6,,,5,
130268756992804_2474206725932317,https://www.facebook.com/YaleClimateConnections/posts/2474206725932317,"Working on a more climate-friendly diet? Consider climate-friendly seafood.",Link,,,"05/30/2019 11:00:02 AM"," ",2060,2060,0,2757,2757,0,113,91,110,5,6,2608,1959,0,0,98,0,0,0,0,0,0,0,0,0,0,9,34,8,9,35,10,41,58,,,52,58,,,,6,,,5,
130268756992804_2473739059312417,https://www.facebook.com/YaleClimateConnections/posts/2473739059312417,"Could climate change increase the prevalence of PTSD?",Link,,,"05/30/2019 04:41:02 AM"," ",2350,2350,0,3332,3332,0,108,62,78,2,3,3054,2202,0,0,100,0,0,0,0,0,0,0,0,0,0,13,68,9,13,73,14,53,14,,,64,14,,,,3,,,2,
130268756992804_2472296149456708,https://www.facebook.com/YaleClimateConnections/posts/2472296149456708,"Reverend Heber Brown III says his church’s food program simultaneously cuts climate pollution and protects people by providing healthy food:",Link,,,"05/29/2019 07:58:00 AM"," ",9432,2484,6894,12707,3408,9299,1852,163,174,7,7,2761,2036,4,3,113,0,0,0,0,0,0,0,0,0,0,207,1739,26,208,1749,31,65,105,,,70,104,,,1,6,,1,6,
130268756992804_2470155413004115,https://www.facebook.com/YaleClimateConnections/posts/2470155413004115,"Climate change ≠ damage to the ozone layer.",Link,,,"05/28/2019 04:13:02 AM"," ",6562,3178,3355,9126,4429,4697,906,210,414,6,7,3869,2765,8,6,194,0,0,0,0,0,0,0,0,0,0,161,679,54,170,713,176,107,126,,,285,129,,,1,6,,1,5,
130268756992804_2468304986522491,https://www.facebook.com/YaleClimateConnections/posts/2468304986522491,"Climate change has altered a Memorial Day tradition:",Link,,,"05/27/2019 04:43:04 AM"," ",21860,5180,16417,27102,7361,19741,3648,2328,2563,6,7,6427,4425,3,3,647,0,0,0,0,0,0,0,0,0,0,287,1628,115,287,1683,291,218,2184,,,353,2210,,,1,6,,1,5,
130268756992804_2463091513710505,https://www.facebook.com/YaleClimateConnections/posts/2463091513710505,"In 2017, this energy-efficiency program helped customers save enough energy to power roughly 70,000 homes:",Link,,,"05/24/2019 04:43:03 AM"," ",6817,3751,3103,8753,4992,3761,883,143,173,8,8,3517,2594,1,1,184,0,0,0,0,0,0,0,0,0,0,85,760,12,86,769,21,70,85,,,89,84,,,1,7,,1,7,
130268756992804_2461322000554123,https://www.facebook.com/YaleClimateConnections/posts/2461322000554123,"Can a role-playing game lead to stronger global climate action?",Link,,,"05/23/2019 04:23:02 AM"," ",19764,3666,16368,24573,4976,19597,2616,260,283,6,8,3324,2408,2,2,125,0,0,0,0,0,0,0,0,0,0,295,2373,65,299,2404,81,82,183,,,98,185,,,,8,,,6,
130268756992804_2458302774189379,https://www.facebook.com/YaleClimateConnections/posts/2458302774189379,"Are problems with media coverage of climate change fixable? A recent conference takes a crack at the question:",Link,,,"05/22/2019 09:00:01 AM"," ",3504,2648,858,4618,3547,1071,314,82,172,6,7,2652,1935,0,0,86,0,0,0,0,0,0,0,0,0,0,25,247,21,31,247,112,60,26,,,145,27,,,1,6,,1,5,
130268756992804_2459734850712838,https://www.facebook.com/YaleClimateConnections/posts/2459734850712838,"The push toward self-driving cars could have unintended consequences for the fight against climate change:",Link,,,"05/22/2019 05:11:00 AM"," ",5633,2884,2693,7404,4095,3309,650,155,211,5,6,3599,2531,5,4,148,0,0,0,0,0,0,0,0,0,0,46,484,56,46,509,116,96,65,,,145,66,,,,6,,,5,
