"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - report_spam_clicks"
130268756992804_2218958801457112,https://www.facebook.com/YaleClimateConnections/posts/2218958801457112,"New worries about the impacts of climate change on fishing in North Carolina — a billion-dollar industry:",Link,,,"12/20/2018 06:01:01 AM"," ",5886,4061,1711,7615,5510,2105,664,130,180,7,7,4009,2892,2,2,186,0,0,0,0,0,0,0,0,0,0,80,534,31,81,546,48,91,44,,,135,45,,,6,1,,6,1,
130268756992804_2216544901698502,https://www.facebook.com/YaleClimateConnections/posts/2216544901698502,"Even as worldwide demand for coffee has increased, farmers' fortunes have actually declined.

https://www.yaleclimateconnections.org/2018/12/coffee-farmers-adapt-to-climate-change/",Link,,,"12/19/2018 09:00:02 AM"," ",1935,1935,0,2530,2530,0,69,29,35,4,5,2244,1732,0,0,69,0,0,0,0,0,0,0,0,0,0,8,49,,8,50,,15,14,,,20,15,,,5,,,4,,
130268756992804_2217529938266665,https://www.facebook.com/YaleClimateConnections/posts/2217529938266665,"And now for some good news:",Link,,,"12/19/2018 06:01:12 AM"," ",15054,4635,10568,19702,6207,13495,2772,154,176,10,11,3683,2591,2,2,160,0,0,0,0,0,0,0,0,0,0,173,2645,26,178,2684,53,73,82,,,95,81,,,11,,,10,,
130268756992804_2216526948366964,https://www.facebook.com/YaleClimateConnections/posts/2216526948366964,"Some people have honest misunderstandings about climate change. Here's how to weed out the trolls. 

https://www.yaleclimateconnections.org/2018/12/identifying-good-faith-questions-about-climate/",Link,,,"12/18/2018 11:57:53 AM"," ",5645,5135,621,7383,6655,728,401,206,344,6,6,4393,3259,0,0,198,0,0,0,0,0,0,0,0,0,0,57,250,23,58,253,76,136,110,1,,230,113,1,,5,1,,5,1,
130268756992804_2216097895076536,https://www.facebook.com/YaleClimateConnections/posts/2216097895076536,"Troubling signs in recent winters:",Link,,,"12/18/2018 06:00:08 AM"," ",12981,6419,6961,16967,8805,8162,1707,306,425,10,10,4730,3350,3,2,288,0,0,0,0,0,0,0,0,0,0,223,1396,97,232,1433,135,166,151,2,,275,148,2,,8,2,,8,2,
130268756992804_2214645258555133,https://www.facebook.com/YaleClimateConnections/posts/2214645258555133,"You don’t have to quit your day job to make a difference on climate change:",Link,,,"12/17/2018 06:00:36 AM"," ",5845,3726,2202,7965,5173,2792,608,235,283,5,5,3892,2678,2,2,188,0,0,0,0,0,0,0,0,0,0,52,402,21,56,408,39,62,187,,,93,190,,,5,,,5,,
130268756992804_2203749519644707,https://www.facebook.com/YaleClimateConnections/posts/2203749519644707,"This has been a big year for books about climate change. Take a look at these 12. https://www.yaleclimateconnections.org/2018/12/climate-books-as-holiday-gifts/",Link,,,"12/14/2018 08:30:00 AM"," ",3920,2843,1063,5372,3879,1493,309,93,113,14,15,3061,2228,0,0,100,0,0,0,0,0,0,0,0,0,0,35,235,5,36,239,5,35,67,,,43,70,,,12,3,,11,3,
130268756992804_2210030195683306,https://www.facebook.com/YaleClimateConnections/posts/2210030195683306,"This LA nonprofit has created a blueprint that they hope can help cities everywhere to protect low-income communities from pollution:",Link,,,"12/14/2018 06:00:13 AM"," ",1995,1995,0,2808,2808,0,90,46,63,8,9,2600,1850,0,0,87,0,0,0,0,0,0,0,0,0,0,4,58,2,4,58,2,31,19,,,44,19,,,8,1,,7,1,
130268756992804_2207496765936649,https://www.facebook.com/YaleClimateConnections/posts/2207496765936649,"To convert the grid to renewable energy, we'll need a way to store it.

https://www.yaleclimateconnections.org/2018/12/energy-storage-options-for-renewables/",Link,,,"12/13/2018 09:00:00 AM"," ",13305,6145,7405,17275,8074,9201,1489,398,479,9,9,4252,3201,2,2,256,0,0,0,0,0,0,0,0,0,0,227,1168,51,233,1215,92,113,309,3,,157,319,3,,9,,,9,,
130268756992804_2208442432508749,https://www.facebook.com/YaleClimateConnections/posts/2208442432508749,"A Department of Energy study found that homes with solar panels sold for, on average, about $15,000 more than similar homes without solar.",Link,,,"12/13/2018 06:00:37 AM"," ",10430,4754,6055,13788,6359,7429,1307,173,220,7,7,3571,2470,0,0,177,0,0,0,0,0,0,0,0,0,0,143,1141,26,144,1178,40,88,88,,,131,89,,,6,1,,6,1,
