"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - report_spam_clicks"
130268756992804_2172049476148045,https://www.facebook.com/YaleClimateConnections/posts/2172049476148045,"“These things are now things a lot of scientists talk about and they're examining and they’re studying, but we didn't need all that…we live on the land!” — Queen Quet Marquetta Goodwine",Link,,,"11/19/2018 06:02:34 AM"," ",2147,2147,0,2822,2822,0,100,57,94,7,9,2423,1808,0,0,95,0,0,0,0,0,0,0,0,0,0,11,53,2,11,56,2,30,33,,,60,34,,,6,3,,5,2,
130268756992804_2167456959940630,https://www.facebook.com/YaleClimateConnections/posts/2167456959940630,"In her new book, Trebbe Johnson accounts for climate change, fracking, mountaintop mining, and pollution, and asks “How do we live with this?”",Link,,,"11/16/2018 06:01:21 AM"," ",3720,3720,0,4936,4936,0,218,101,152,10,10,4043,2984,0,0,183,0,0,0,0,0,0,0,0,0,0,29,123,7,34,124,8,63,43,,,108,44,,,10,,,10,,
130268756992804_2166039276749065,https://www.facebook.com/YaleClimateConnections/posts/2166039276749065,"Doctors have figured out better ways to break bad news to patients. People who care about climate change can learn a lot from them.",Link,,,"11/15/2018 06:26:15 AM"," ",4332,4332,0,5920,5920,0,320,238,313,9,10,4574,3360,0,0,260,0,0,0,0,0,0,0,0,0,0,35,120,11,39,121,12,89,171,,,135,178,,,8,2,,7,2,
130268756992804_2166023153417344,https://www.facebook.com/YaleClimateConnections/posts/2166023153417344,"U.S. and Mexican residents are increasingly turning to groundwater sources along the border, but no one knows how much water is left.",Link,,,"11/15/2018 06:00:19 AM"," ",3648,3648,0,5035,5035,0,228,132,187,7,8,4120,2959,0,0,209,0,0,0,0,0,0,0,0,0,0,31,113,15,32,117,19,92,46,,,141,46,,,8,,,7,,
130268756992804_2164777673541892,https://www.facebook.com/YaleClimateConnections/posts/2164777673541892,"In his first column for us, Dana Nuccitelli writes about global warming/California wildfires connections. https://www.yaleclimateconnections.org/2018/11/the-many-ways-climate-change-worsens-california-wildfires/",Link,,,"11/14/2018 09:00:02 AM"," ",6546,6546,0,8488,8488,0,402,225,354,5,6,5204,4053,0,0,270,0,0,0,0,0,0,0,0,0,0,93,224,23,94,237,33,160,87,,,264,90,,,6,,,5,,
130268756992804_2164640150222311,https://www.facebook.com/YaleClimateConnections/posts/2164640150222311,"Now retired, Allen Hubbard devotes his time to climate action with Citizens’ Climate Lobby.",Link,,,"11/14/2018 06:00:43 AM"," ",3309,3309,0,4451,4451,0,228,109,161,8,9,3728,2715,0,0,195,0,0,0,0,0,0,0,0,0,0,21,157,7,23,162,8,83,32,1,,128,32,1,,7,2,,6,2,
130268756992804_2163507833668876,https://www.facebook.com/YaleClimateConnections/posts/2163507833668876,"Dam good to hear it. https://www.yaleclimateconnections.org/2018/11/beavers-can-help-combat-global-warming/",Link,,,"11/13/2018 11:00:01 AM"," ",9595,9595,0,13021,13021,0,792,352,482,11,11,6122,4382,0,0,529,0,0,0,0,0,0,0,0,0,0,134,587,30,136,612,33,228,155,,,329,153,,,10,1,,10,1,
130268756992804_2163232317029761,https://www.facebook.com/YaleClimateConnections/posts/2163232317029761,"This past summer, Faith Ward helped lead a climate change march through her hometown of Ft. Lauderdale.",Link,,,"11/13/2018 06:00:43 AM"," ",2497,2497,0,3609,3609,0,138,49,78,10,10,3146,2181,0,0,127,0,0,0,0,0,0,0,0,0,0,11,110,2,11,110,2,31,20,,,57,21,,,10,,,10,,
130268756992804_2161900413829618,https://www.facebook.com/YaleClimateConnections/posts/2161900413829618,"The Navy is responding to climate change.",Link,,,"11/12/2018 06:00:42 AM"," ",9642,9642,0,13079,13079,0,940,443,735,13,13,8322,5879,0,0,795,0,0,0,0,0,0,0,0,0,0,179,617,25,180,636,28,303,167,,,561,174,,,11,2,,11,2,
130268756992804_2157511514268508,https://www.facebook.com/YaleClimateConnections/posts/2157511514268508,"Telling the story of climate change through data visualization and wall art:",Link,,,"11/09/2018 06:02:05 AM"," ",7995,7995,0,11584,11584,0,571,252,359,11,12,6118,4235,0,0,330,0,0,0,0,0,0,0,0,0,0,84,404,29,85,414,34,169,113,,,241,118,,,11,1,,10,1,
130268756992804_2156056811080645,https://www.facebook.com/YaleClimateConnections/posts/2156056811080645,"Bike sharing is taking U.S. cities by storm. Now, some are taking it a step further:",Link,,,"11/08/2018 06:00:59 AM"," ",2335,2335,0,3241,3241,0,91,55,61,6,6,2926,2101,0,0,76,0,0,0,0,0,0,0,0,0,0,8,48,,8,50,,22,33,,,28,33,,,6,,,6,,
130268756992804_2154544527898540,https://www.facebook.com/YaleClimateConnections/posts/2154544527898540,"Another great reason to stop using single-use plastics:",Link,,,"11/07/2018 06:02:15 AM"," ",14478,14478,0,19833,19833,0,1043,431,658,11,12,8218,5841,0,0,640,0,0,0,0,0,0,0,0,0,0,244,611,51,248,627,83,307,155,1,,498,159,1,,12,,,11,,
130268756992804_2153359568017036,https://www.facebook.com/YaleClimateConnections/posts/2153359568017036,"“Chronic inundation” of homes is going to happen much more in coastal Louisiana if we don’t act to reduce carbon pollution.",Link,,,"11/06/2018 09:00:01 AM"," ",3041,3041,0,3882,3882,0,139,64,86,6,6,3180,2427,0,0,111,0,0,0,0,0,0,0,0,0,0,29,76,10,29,80,12,38,26,,,59,27,,,5,1,,5,1,
130268756992804_2151843948168598,https://www.facebook.com/YaleClimateConnections/posts/2151843948168598,"Javier Camacho provides his neighbors with power, and not just the kind that turns on the lights:",Link,,,"11/05/2018 08:17:11 AM"," ",2803,2803,0,3949,3949,0,166,91,117,13,13,3378,2382,0,0,145,0,0,0,0,0,0,0,0,0,0,16,110,,16,110,,38,55,,,62,55,,,12,1,,12,1,
130268756992804_2151684168184576,https://www.facebook.com/YaleClimateConnections/posts/2151684168184576,"Javier Camacho provides his neighbors with power, and not just the kind that turns on the lights:",Link,,,"11/05/2018 06:01:24 AM"," ",5136,5136,0,6642,6642,0,588,258,399,16,16,5557,4165,0,0,539,0,0,0,0,0,0,0,0,0,0,54,409,5,55,417,6,173,113,,,250,149,,,15,1,,15,1,
130268756992804_2147117108641282,https://www.facebook.com/YaleClimateConnections/posts/2147117108641282,"This Buffalo nonprofit is making clean energy access a reality for all:",Link,,,"11/02/2018 06:01:25 AM"," ",4616,4616,0,6481,6481,0,473,154,210,9,9,4738,3197,0,0,372,0,0,0,0,0,0,0,0,0,0,56,408,9,58,409,12,108,59,,,151,59,,,7,2,,7,2,
130268756992804_2145424808810512,https://www.facebook.com/YaleClimateConnections/posts/2145424808810512,"This is what environmental justice looks like in Sunset Park, Brooklyn.",Link,,,"11/01/2018 06:01:29 AM"," ",2093,2093,0,2880,2880,0,70,48,52,6,6,2614,1897,0,0,61,0,0,0,0,0,0,0,0,0,0,10,29,,10,29,,13,36,,,14,38,,,6,,,6,,
130268756992804_2143286525691007,https://www.facebook.com/YaleClimateConnections/posts/2143286525691007,"Why is one of the nation’s sunniest states charging extra fees to people who install solar panels?",Link,,,"10/31/2018 06:01:10 AM"," ",9343,3515,6051,13267,5210,8057,1673,273,422,8,8,3131,2110,0,0,259,0,0,0,0,0,0,0,0,0,0,160,1412,103,163,1484,193,141,162,,,254,168,,,6,2,,6,2,
130268756992804_2140269415992718,https://www.facebook.com/YaleClimateConnections/posts/2140269415992718,"The impacts of climate change don’t stop at the coasts.",Link,,,"10/30/2018 06:00:41 AM"," ",17975,6789,11356,23650,9144,14506,2507,315,388,7,8,3735,2549,2,2,176,0,0,0,0,0,0,0,0,0,0,322,2155,60,335,2273,155,88,245,,,138,250,,,7,1,,6,1,
130268756992804_2138225869530406,https://www.facebook.com/YaleClimateConnections/posts/2138225869530406,"It’s not just a matter of comfort.",Link,,,"10/29/2018 06:01:11 AM"," ",49435,20969,28824,67304,30121,37183,5460,1865,2232,15,16,6581,4324,10,9,476,0,0,0,0,0,0,0,0,0,0,850,3696,498,865,3816,672,613,1330,5,,870,1357,5,,13,3,,12,3,
130268756992804_2132831553403171,https://www.facebook.com/YaleClimateConnections/posts/2132831553403171,"The most accessible research sites in the Arctic are also the warmest - so we might be underestimating the amount of warming happening in more remote areas. https://www.yaleclimateconnections.org/2018/10/arctic-climate-research-dominated-by-two-locations/",Photo,,,"10/26/2018 12:00:01 PM"," ",2234,2234,0,3002,3002,0,85,39,79,7,7,2761,2060,0,0,74,0,0,0,0,0,0,0,0,0,0,10,53,6,10,54,10,29,5,9,,64,5,10,,7,,,7,,
130268756992804_2132624453423881,https://www.facebook.com/YaleClimateConnections/posts/2132624453423881,"How have you improved energy efficiency in your home or at work?",Link,,,"10/26/2018 06:00:08 AM"," ",5958,2535,3444,8197,3682,4515,932,141,239,3,3,2131,1414,1,1,131,0,0,0,0,0,0,0,0,0,0,85,798,51,88,798,79,81,67,1,,169,69,1,,3,,,3,,
130268756992804_2131242796895380,https://www.facebook.com/YaleClimateConnections/posts/2131242796895380,"“We are going to continue to fight for our future, for our lives, and for our communities.” — Iris Fen Gillingham",Link,,,"10/25/2018 06:01:59 AM"," ",14749,3840,11171,19518,5214,14304,2531,164,232,7,7,2959,2085,2,1,135,0,0,0,0,0,0,0,0,0,0,207,2383,21,211,2383,34,63,110,,,117,115,,,7,,,7,,
130268756992804_2129856230367370,https://www.facebook.com/YaleClimateConnections/posts/2129856230367370,"Nope. We’re good. Thanks.",Link,,,"10/24/2018 06:00:20 AM"," ",11274,4275,7197,13880,5701,8179,1044,238,285,7,7,3376,2424,2,2,151,0,0,0,0,0,0,0,0,0,0,129,817,41,129,817,65,72,181,,,100,185,,,6,,1,6,,1
130268756992804_2128526210500372,https://www.facebook.com/YaleClimateConnections/posts/2128526210500372,"Volunteers like Sarah Miller are rolling up their sleeves to help document Florida history in advance of rising seas.",Link,,,"10/23/2018 06:00:28 AM"," ",10407,4180,6204,13029,5790,7239,1211,241,290,7,7,2934,2124,1,1,139,0,0,0,0,0,0,0,0,0,0,153,1006,24,155,1025,43,116,141,,,143,147,,,6,1,,6,1,
130268756992804_2127141593972167,https://www.facebook.com/YaleClimateConnections/posts/2127141593972167,"“In the Jewish context, what we usually talk about is that we are given not dominion to rule over the Earth, but really given the responsibility to care for the Earth” - Rabbi Joel Abraham",Link,,,"10/22/2018 06:02:13 AM"," ",11221,5191,6320,13827,6938,6889,1593,284,464,13,14,4640,3259,2,2,277,0,0,0,0,0,0,0,0,0,0,123,1415,49,124,1415,97,215,80,,,382,82,,,11,2,1,10,2,1
130268756992804_2123116351041358,https://www.facebook.com/YaleClimateConnections/posts/2123116351041358,"How to motivate the millennial in your life to care about climate change:",Link,,,"10/19/2018 06:01:24 AM"," ",2556,2556,0,3419,3419,0,104,69,102,10,10,2927,2132,0,0,87,0,0,0,0,0,0,0,0,0,0,11,47,5,11,47,10,40,32,,,68,34,,,10,,,10,,
130268756992804_2121740821178911,https://www.facebook.com/YaleClimateConnections/posts/2121740821178911,"Jetlag isn’t the only byproduct of international travel.",Link,,,"10/18/2018 06:00:15 AM"," ",2549,2549,0,3523,3523,0,140,87,123,9,9,3044,2164,0,0,117,0,0,0,0,0,0,0,0,0,0,8,56,7,8,56,10,46,47,,,76,47,,,8,1,,8,1,
130268756992804_2120390291313964,https://www.facebook.com/YaleClimateConnections/posts/2120390291313964,"Thousands of Californians rely on Bullards Bar for drinking water, agriculture, and power. That’s a big dam problem.",Link,,,"10/17/2018 06:03:04 AM"," ",2623,2623,0,3636,3636,0,133,73,99,7,7,2884,2096,0,0,89,0,0,0,0,0,0,0,0,0,0,12,76,7,12,78,12,43,35,,,61,38,,,7,,,7,,
130268756992804_2119475471405446,https://www.facebook.com/YaleClimateConnections/posts/2119475471405446,"We know that mosquitoes thrive in warmer weather — could they bring malaria to the U.S. in the future? Well, the answer isn't that simple.",Link,,,"10/16/2018 12:41:27 PM"," ",2514,2514,0,3255,3255,0,82,50,60,4,4,2308,1704,0,0,58,0,0,0,0,0,0,0,0,0,0,12,37,4,15,38,5,27,24,,,32,28,,,4,,,4,,
130268756992804_2119056274780699,https://www.facebook.com/YaleClimateConnections/posts/2119056274780699,"Bottom line: Utility energy efficiency programs save energy and money. $3.3 billion in Michigan, to be exact.",Link,,,"10/16/2018 06:02:32 AM"," ",5508,2871,2531,7094,3983,3111,682,138,152,7,7,2928,2038,1,1,143,0,0,0,0,0,0,0,0,0,0,69,593,11,71,612,12,98,41,,,110,42,,,5,2,,5,2,
130268756992804_2117708594915467,https://www.facebook.com/YaleClimateConnections/posts/2117708594915467,"The impacts of extreme weather continue long after the news coverage ends.",Link,,,"10/15/2018 06:28:02 AM"," ",26205,8583,18497,34864,11543,23321,4674,832,949,11,11,4698,3299,10,9,279,0,0,0,0,0,0,0,0,0,0,507,4126,129,512,4126,220,605,265,,,673,276,,,9,1,1,9,1,1
130268756992804_2113996485286678,https://www.facebook.com/YaleClimateConnections/posts/2113996485286678,"“I would highly encourage any grower, no matter the size, to explore solar. The financial aspect of it just makes sense.” — A. J. Hood, manager of Tillar and Company",Link,,,"10/12/2018 03:00:00 PM"," ",3515,1739,1758,4796,2366,2430,630,90,121,2,2,1431,1021,2,2,113,0,0,0,0,0,0,0,0,0,0,54,583,13,56,593,16,74,20,,,101,20,,,2,,,2,,
130268756992804_2113474065338920,https://www.facebook.com/YaleClimateConnections/posts/2113474065338920,"For every day with an average temperature above 80 degrees, 1,000 fewer babies are born in the U.S, according to a UCLA study.",Link,,,"10/12/2018 06:00:02 AM"," ",6461,5520,1046,8473,7358,1115,521,290,1703,10,10,5709,4061,0,0,308,0,0,0,0,0,0,0,0,0,0,57,275,48,59,282,59,236,72,,,1628,75,,,9,1,,9,1,
130268756992804_2112060312146962,https://www.facebook.com/YaleClimateConnections/posts/2112060312146962,Wow:,Link,,,"10/11/2018 06:00:39 AM"," ",52320,21247,32238,68112,28083,40029,9371,2477,2935,9,10,6454,4267,6,5,540,0,0,0,0,0,0,0,0,0,0,1196,8181,168,1235,8379,284,1436,1288,,,1585,1350,,,9,1,,8,1,
130268756992804_2110410578978602,https://www.facebook.com/YaleClimateConnections/posts/2110410578978602,"It’s simple: Warmer air holds more evaporated water.",Link,,,"10/10/2018 06:01:53 AM"," ",9316,9316,0,12618,12618,0,690,324,500,8,8,7154,4785,0,0,527,0,0,0,0,0,0,0,0,0,0,175,414,27,175,433,37,232,111,,,381,119,,,8,,,8,,
130268756992804_2108938522459141,https://www.facebook.com/YaleClimateConnections/posts/2108938522459141,"“We've identified 10.1 million who didn't even vote in the 2016 presidential election. … This is an enormous population of environmentalists just waiting to be energized.” 
— Nathaniel Stinnett of the Environmental Voter Project",Link,,,"10/09/2018 06:01:03 AM"," ",4859,4859,0,6874,6874,0,435,205,316,8,8,4894,3444,0,0,363,0,0,0,0,0,0,0,0,0,0,72,309,21,73,317,27,158,62,,,252,64,,,8,,,8,,
130268756992804_2107313385954988,https://www.facebook.com/YaleClimateConnections/posts/2107313385954988,"“It’s a form of trauma that I can never take away from my children’s lives. They’re going to have that in their memory forever now.” — Amanda Rideaux",Link,,,"10/08/2018 06:01:33 AM"," ",2726,2726,0,3583,3583,0,118,57,81,7,7,3267,2431,0,0,107,0,0,0,0,0,0,0,0,0,0,5,73,7,5,74,12,35,22,,,59,22,,,5,2,,5,2,
130268756992804_2106460116040315,https://www.facebook.com/YaleClimateConnections/posts/2106460116040315,"“I would highly encourage any grower, no matter the size, to explore solar. The financial aspect of it just makes sense.” — A. J. Hood, manager of Tillar and Company",Link,,,"10/07/2018 04:00:00 PM"," ",25740,8071,18654,37114,10859,26255,4744,788,870,2,2,4300,3081,2,2,222,0,0,0,0,0,0,0,0,0,0,534,4283,91,547,4353,200,632,180,,,685,185,,,2,,,2,,
130268756992804_2102820703070923,https://www.facebook.com/YaleClimateConnections/posts/2102820703070923,"“We’re here for the long-term.” — Mark Rosenblum, Pérez Art Museum Miami’s deputy director for finance and operations",Link,,,"10/05/2018 06:00:41 AM"," ",1982,1982,0,2673,2673,0,56,32,37,4,4,2434,1791,0,0,51,0,0,0,0,0,0,0,0,0,0,3,37,,3,37,,24,9,,,28,9,,,3,1,,3,1,
130268756992804_2101319556554371,https://www.facebook.com/YaleClimateConnections/posts/2101319556554371,"Climate change is putting our history at risk:",Link,,,"10/04/2018 06:00:13 AM"," ",2630,2630,0,3515,3515,0,126,47,59,4,4,2864,2079,0,0,103,0,0,0,0,0,0,0,0,0,0,20,84,,20,86,,25,22,,,36,23,,,4,,,4,,
130268756992804_2099992226687104,https://www.facebook.com/YaleClimateConnections/posts/2099992226687104,"A delicious part of U.S. history is at risk.",Link,,,"10/03/2018 06:01:20 AM"," ",5398,5398,0,7350,7350,0,520,423,527,6,6,5262,3666,0,0,401,0,0,0,0,0,0,0,0,0,0,59,155,20,60,165,26,119,344,,,169,358,,,5,1,,5,1,
130268756992804_2098615756824751,https://www.facebook.com/YaleClimateConnections/posts/2098615756824751,"“I would highly encourage any grower, no matter the size, to explore solar. The financial aspect of it just makes sense.” — A. J. Hood, manager of Tillar and Company",Link,,,"10/02/2018 06:00:32 AM"," ",3732,3732,0,5096,5096,0,316,147,270,9,9,3874,2776,0,0,273,0,0,0,0,0,0,0,0,0,0,37,213,15,38,213,22,118,37,,,229,41,,,8,1,,8,1,
130268756992804_2097309463622047,https://www.facebook.com/YaleClimateConnections/posts/2097309463622047,"They're spying on the tundra, for science.",Link,,,"10/01/2018 06:00:40 AM"," ",2511,2511,0,3385,3385,0,95,52,72,5,5,2964,2164,0,0,84,0,0,0,0,0,0,0,0,0,0,7,67,4,8,67,4,43,14,,,58,14,,,4,1,,4,1,
130268756992804_2093488237337503,https://www.facebook.com/YaleClimateConnections/posts/2093488237337503,"Army vet Sean Collins says he has a new sense of purpose.",Link,,,"09/28/2018 06:00:59 AM"," ",2011,2011,0,2837,2837,0,91,53,62,4,4,2620,1830,0,0,81,0,0,0,0,0,0,0,0,0,0,3,58,,3,58,,15,40,,,19,43,,,3,1,,3,1,
130268756992804_2092012414151752,https://www.facebook.com/YaleClimateConnections/posts/2092012414151752,"When cows burp, it’s not just bad manners.",Link,,,"09/27/2018 06:01:08 AM"," ",6687,3455,3334,8920,4859,4061,781,158,261,9,9,3437,2395,3,3,108,0,0,0,0,0,0,0,0,0,0,54,662,50,56,693,99,125,40,,,220,41,,,8,1,,8,1,
130268756992804_2090041641015496,https://www.facebook.com/YaleClimateConnections/posts/2090041641015496,"What do you say when a climate change skeptic claims climate scientists are only in it for the money? Karin Kirk has some suggestions:",Link,,,"09/26/2018 11:38:00 AM"," ",2307,2307,0,3132,3132,0,148,112,274,9,10,2775,2049,0,0,126,0,0,0,0,0,0,0,0,0,0,7,61,17,7,63,85,74,53,,,218,56,,,10,,,9,,
130268756992804_2090836190936041,https://www.facebook.com/YaleClimateConnections/posts/2090836190936041,"“We really believe that we are stewards of our climate, stewards of our environment.” — Daniel Gargan of @RSTOfficial",Link,,,"09/26/2018 06:00:14 AM"," ",26371,9354,18097,38219,12425,25794,5234,936,1102,9,9,3946,2719,6,6,273,0,0,0,0,0,0,0,0,0,0,616,4724,81,630,4799,122,731,250,,,838,264,,,9,,,9,,
130268756992804_2090002097686117,https://www.facebook.com/YaleClimateConnections/posts/2090002097686117,"In today's advice column, Sara Peach shares how to have a sensitive conversation about climate change with a coastal conservative friend.",Link,,,"09/25/2018 02:37:50 PM"," ",7042,5538,1495,8890,6984,1906,638,334,497,10,12,5266,3948,1,1,270,0,0,0,0,0,0,0,0,0,0,63,366,57,67,375,133,226,145,,,345,152,,,12,,,10,,
130268756992804_2089434781076182,https://www.facebook.com/YaleClimateConnections/posts/2089434781076182,"Bees and climate change don’t mix.",Link,,,"09/25/2018 06:00:33 AM"," ",3050,3050,0,4187,4187,0,163,65,103,5,5,2698,1867,0,0,105,0,0,0,0,0,0,0,0,0,0,19,109,4,26,111,6,35,37,,,64,39,,,5,,,5,,
130268756992804_2088110527875274,https://www.facebook.com/YaleClimateConnections/posts/2088110527875274,"Coastal communities need to plan for a future with more water.",Link,,,"09/24/2018 06:01:50 AM"," ",26561,13081,13965,35009,17880,17129,3783,979,1338,8,9,6499,4283,8,8,451,0,0,0,0,0,0,0,0,0,0,668,3054,179,703,3171,278,779,245,,,1084,254,,,7,2,,6,2,
130268756992804_2084052114947782,https://www.facebook.com/YaleClimateConnections/posts/2084052114947782,"“We made the commitment with this restaurant that if we couldn’t afford to fully offset the carbon cost of our operating that we didn’t want to be open.” 
— restaurateur Henry Moynahan Rich",Link,,,"09/21/2018 06:02:52 AM"," ",1980,1980,0,2734,2734,0,85,42,122,7,7,2441,1756,0,0,71,0,0,0,0,0,0,0,0,0,0,6,58,,6,61,,27,16,,,104,18,,,7,,,7,,
130268756992804_2082782608408066,https://www.facebook.com/YaleClimateConnections/posts/2082782608408066,"Bad news about that beachfront property:",Link,,,"09/20/2018 06:02:50 AM"," ",16364,7755,8917,22927,10661,12266,2392,967,1198,9,9,5426,3601,3,3,408,0,0,0,0,0,0,0,0,0,0,281,1655,157,300,1709,346,459,563,,,606,592,,,9,,,9,,
130268756992804_2081632735189720,https://www.facebook.com/YaleClimateConnections/posts/2081632735189720,"The whaling industry is long gone from this New England city, but offshore wind might become its next big business opportunity.",Link,,,"09/19/2018 06:02:20 AM"," ",20162,6266,14355,27015,7963,19052,3684,542,612,3,3,3165,2243,6,6,147,0,0,0,0,0,0,0,0,0,0,314,3341,71,314,3341,152,384,183,1,,414,197,1,,3,,,3,,
130268756992804_2080459911973669,https://www.facebook.com/YaleClimateConnections/posts/2080459911973669,"Natural changes can affect global temperatures. But they don’t explain what’s going on now.",Link,,,"09/18/2018 06:01:52 AM"," ",23238,14998,8870,31845,20170,11675,2811,1207,1710,8,8,6842,4443,6,6,490,0,0,0,0,0,0,0,0,0,0,587,2030,93,604,2063,190,772,500,1,1,1191,517,1,1,8,,,8,,
130268756992804_2079247998761527,https://www.facebook.com/YaleClimateConnections/posts/2079247998761527,"Wishing you a lifetime of love, happiness, and … a safe dash for higher ground.",Link,,,"09/17/2018 06:01:44 AM"," ",19997,4957,15844,26254,6640,19614,3714,1166,1248,7,10,3440,2313,5,5,278,0,0,0,0,0,0,0,0,0,0,218,2783,54,223,2783,73,287,923,,,323,925,,,8,2,,5,2,
130268756992804_2075265829159744,https://www.facebook.com/YaleClimateConnections/posts/2075265829159744,"Less snow could mean more expensive IPAs — here’s why:",Link,,,"09/14/2018 06:00:56 AM"," ",4291,4291,0,5685,5685,0,167,88,136,9,9,3886,2815,0,0,104,0,0,0,0,0,0,0,0,0,0,24,97,24,25,99,27,66,29,,,106,30,,,8,1,,8,1,
130268756992804_2074074295945564,https://www.facebook.com/YaleClimateConnections/posts/2074074295945564,"Since she’s learned the science, she’s never looked back.",Link,,,"09/13/2018 06:01:01 AM"," ",16348,6612,9979,21014,8907,12107,2656,548,756,9,9,4921,3461,1,1,380,0,0,0,0,0,0,0,0,0,0,213,2267,97,214,2339,262,380,193,,,558,198,,,7,1,1,7,1,1
130268756992804_2072849202734740,https://www.facebook.com/YaleClimateConnections/posts/2072849202734740,"The effects of climate change can take many forms.",Link,,,"09/12/2018 06:01:34 AM"," ",3444,3444,0,4670,4670,0,177,94,136,7,8,3391,2460,0,0,132,0,0,0,0,0,0,0,0,0,0,23,98,10,25,104,25,57,46,,,89,47,,,8,,,7,,
130268756992804_2071678609518466,https://www.facebook.com/YaleClimateConnections/posts/2071678609518466,"“The joke around here is, ‘Don't move to Ocean City without a set of waders.’” — Suzanne Hornick",Link,,,"09/11/2018 06:00:15 AM"," ",19315,6763,13672,26874,8856,18018,2598,1018,1205,8,8,4469,3274,2,2,251,0,0,0,0,0,0,0,0,0,0,225,1877,85,235,1904,113,321,764,1,,383,820,2,,8,,,8,,
130268756992804_2070438889642438,https://www.facebook.com/YaleClimateConnections/posts/2070438889642438,"A recent study found that over the past 30 years, the area burned in western wildfires is almost twice as large as it would have been without the influence of climate change.",Link,,,"09/10/2018 06:01:45 AM"," ",25725,8747,17018,32859,11638,21221,3714,990,1220,7,7,5001,3532,7,7,296,0,0,0,0,0,0,0,0,0,0,495,3006,100,500,3113,156,643,404,3,,795,422,3,,6,1,,6,1,
130268756992804_2066658533353807,https://www.facebook.com/YaleClimateConnections/posts/2066658533353807,"“It’s a matter of justice. It’s a matter of equality. It’s a matter of being fair.” 
— Dant’e King, Director of Community Engagement with Groundswell",Link,,,"09/07/2018 06:00:20 AM"," ",19388,3927,15603,28163,5486,22677,3329,389,471,8,8,2737,1933,3,3,101,0,0,0,0,0,0,0,0,0,0,243,3168,38,257,3228,188,281,132,,,334,137,,,8,,,8,,
130268756992804_2065377486815245,https://www.facebook.com/YaleClimateConnections/posts/2065377486815245,"Buildings generate more than 40 percent of all carbon pollution in the U.S.",Link,,,"09/06/2018 06:00:22 AM"," ",13122,6186,7400,17751,8335,9416,1392,465,635,7,7,4151,2980,6,5,179,0,0,0,0,0,0,0,0,0,0,160,1107,25,168,1108,52,233,264,,,367,268,,,6,1,,6,1,
130268756992804_2064127926940201,https://www.facebook.com/YaleClimateConnections/posts/2064127926940201,"Here’s one way to address climate change.",Link,,,"09/05/2018 06:01:54 AM"," ",14631,5607,9180,19976,7317,12659,1725,451,543,11,11,3616,2652,6,5,149,0,0,0,0,0,0,0,0,0,0,151,1466,34,153,1507,49,207,277,,,241,302,,,10,1,,10,1,
130268756992804_2062907123728948,https://www.facebook.com/YaleClimateConnections/posts/2062907123728948,"Oh, the irony.",Link,,,"09/04/2018 06:00:10 AM"," ",66210,28431,39042,86402,35425,50977,9215,2580,2892,10,12,7648,5467,9,8,638,0,0,0,0,0,0,0,0,0,0,1219,7377,247,1219,7377,358,1522,1147,2,,1706,1184,2,,8,1,3,8,1,3
130268756992804_2061604537192540,https://www.facebook.com/YaleClimateConnections/posts/2061604537192540,"What’s in your shopping cart?",Link,,,"09/03/2018 06:00:35 AM"," ",10205,2335,7886,12492,3370,9122,867,329,360,5,5,1853,1225,1,1,90,0,0,0,0,0,0,0,0,0,0,65,653,14,67,660,19,87,256,,,91,269,,,5,,,5,,
