"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - report_spam_clicks"
130268756992804_1983231281696533,https://www.facebook.com/YaleClimateConnections/posts/1983231281696533,"The Sahara is already larger than the lower 48 U.S. states.",Link,,,"07/18/2018 06:00:39 AM"," ",9096,8735,522,12382,11865,517,695,305,412,11,11,5344,3618,0,0,365,0,0,0,0,0,0,0,0,0,0,121,431,29,121,438,32,181,,139,,264,,148,,1,10,,1,10,
130268756992804_1981625921857069,https://www.facebook.com/YaleClimateConnections/posts/1981625921857069,"Richard Thomas’s campaign has moved his community to think deeper about our changing climate.",Link,,,"07/17/2018 06:01:29 AM"," ",2019,2019,0,2815,2815,0,50,33,59,2,2,2608,1855,0,0,43,0,0,0,0,0,0,0,0,0,0,2,25,1,3,25,1,23,,11,,48,,11,,,2,,,2,
130268756992804_1980030435349951,https://www.facebook.com/YaleClimateConnections/posts/1980030435349951,"Not your typical baby shower gift:",Link,,,"07/16/2018 06:01:06 AM"," ",30341,5410,25148,36474,7337,29137,2757,2046,2340,9,9,3272,2335,10,9,151,0,0,0,0,0,0,0,0,0,0,138,1246,33,140,1246,37,209,,1972,,231,,2109,,1,6,2,1,6,2
130268756992804_1975284779157850,https://www.facebook.com/YaleClimateConnections/posts/1975284779157850,"Seeing how much effort you have to expend to produce 60 watts of power is a real eye-opener.",Link,,,"07/13/2018 06:03:11 AM"," ",23419,6482,17228,30947,8778,22169,2504,435,484,12,14,3853,2696,13,12,212,0,0,0,0,0,0,0,0,0,0,210,2243,64,210,2297,74,294,,154,,328,,156,,,14,,,12,
130268756992804_1973649585988036,https://www.facebook.com/YaleClimateConnections/posts/1973649585988036,"Climate science is saving lives—here’s one way:",Link,,,"07/12/2018 06:00:54 AM"," ",27063,7542,20045,35282,9827,25455,3230,597,645,7,8,4685,3461,10,7,237,0,0,0,0,0,0,0,0,0,0,316,2859,42,319,2941,56,401,,199,,444,,201,,,8,,,7,
130268756992804_1972521109434217,https://www.facebook.com/YaleClimateConnections/posts/1972521109434217,"¿Qué consecuencias tiene el calentamiento global en nuestra salud?",Link,,,"07/11/2018 11:51:53 AM"," ",3201,579,2685,4351,805,3546,290,95,101,4,4,759,498,305,169,29,0,0,0,0,0,0,0,0,0,0,39,230,1,40,234,1,43,1,55,,44,1,56,,1,3,,1,3,
130268756992804_1972509286102066,https://www.facebook.com/YaleClimateConnections/posts/1972509286102066,"¿Qué consecuencias tiene el calentamiento global en nuestra salud?",Link,,,"07/11/2018 11:43:25 AM"," ",3482,492,3023,4515,659,3856,263,80,93,2,2,804,513,639,396,49,0,0,0,0,0,0,0,0,0,0,49,211,,50,211,,54,,30,,57,,36,,,2,,,2,
130268756992804_1972503456102649,https://www.facebook.com/YaleClimateConnections/posts/1972503456102649,"¿Qué consecuencias tiene el calentamiento global en nuestra salud?",Link,,,"07/11/2018 11:38:14 AM"," ",1066,350,726,1212,458,754,56,28,29,2,2,362,273,16,12,8,0,0,0,0,0,0,0,0,0,0,12,34,1,12,34,1,14,,15,,14,,15,,,2,,,2,
130268756992804_1972062309480097,https://www.facebook.com/YaleClimateConnections/posts/1972062309480097,"This might leave you feeling bleu.",Link,,,"07/11/2018 06:00:52 AM"," ",2835,2835,0,3749,3749,0,131,68,114,11,12,3176,2363,0,0,103,0,0,0,0,0,0,0,0,0,0,15,71,11,17,75,19,50,,20,,93,,21,,2,10,,2,9,
130268756992804_1970627982956863,https://www.facebook.com/YaleClimateConnections/posts/1970627982956863,"¿Escuchaste de las abuelitas que arrestaron por participar en una protesta ecológica?",Link,,,"07/10/2018 08:15:35 AM"," ",5561,782,4785,6885,1045,5840,409,158,192,4,4,537,412,38,24,19,0,0,0,0,0,0,0,0,0,0,65,299,2,70,312,2,76,,92,,87,,105,,,4,,,4,
130268756992804_1970458792973782,https://www.facebook.com/YaleClimateConnections/posts/1970458792973782,"What if more utility companies thought this way?",Link,,,"07/10/2018 06:00:15 AM"," ",29872,6392,23241,39471,8333,31138,3815,912,1057,4,4,2667,1837,6,6,202,0,0,0,0,0,0,0,0,0,0,426,3324,47,436,3406,60,511,,463,,575,,482,,1,3,,1,3,
130268756992804_1969398563079805,https://www.facebook.com/YaleClimateConnections/posts/1969398563079805,"¿Escuchaste de las abuelitas que arrestaron por participar en una protesta ecológica?",Link,,,"07/09/2018 12:21:38 PM"," ",5887,466,5407,7069,661,6408,241,155,183,4,4,439,302,62,34,14,0,0,0,0,0,0,0,0,0,0,18,101,2,19,104,2,25,,135,,32,,151,,1,3,,1,3,
130268756992804_1969326789753649,https://www.facebook.com/YaleClimateConnections/posts/1969326789753649,"¿Escuchaste de las abuelitas que arrestaron por participar en una protesta ecológica?",Link,,,"07/09/2018 11:14:06 AM"," ",5139,236,4957,5970,341,5629,239,139,155,1,1,180,123,68,46,10,0,0,0,0,0,0,0,0,0,0,19,116,,20,117,,25,,119,,26,,129,,,1,,,1,
